1;4.3;1.1;0
1;5.6;3.6;1
1;5.7;1.5;0
1;5.7;4.5;1
1;5.7;1.7;0
1;6.4;4.5;1
1;5.8;1.2;0
1;6.5;4.6;1
1;5;1.4;0
1;6.9;4.9;1
1;5;1.5;0
1;5.5;4;1
1;5.4;1.3;0
1;6.6;4.6;1
1;5.4;1.5;0
1;6.7;4.4;1
1;5.1;1.4;0
1;6.2;4.5;1
1;5.1;1.4;0
1;7;4.7;1
1;5.4;1.7;0
1;5.2;3.9;1
1;5.1;1.5;0
1;5;3.5;1
1;4.9;1.4;0
1;4.9;3.9;1
1;5.6;1.5;0
1;5.6;4.5;1
1;4.8;1.4;0
1;5.9;4.2;1
1;4.8;1.6;0
1;5.8;4.1;1
1;4.7;1.3;0
1;6;4;1
1;4.4;1.4;0
1;6.1;4.7;1
1;4.6;1.4;0
1;4.9;3.3;1
1;4.6;1.5;0
1;6.3;4.7;1
